Player,Year,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Swen Nater,1977,938,108,865.0,54.0,51.0,383,725,1960.0,72,,,383,725
Johnny Neumann,1977,381,141,72.0,31.0,10.0,161,397,937.0,63,,,161,397
Mark Olberding,1977,853,119,449.0,59.0,29.0,301,598,1949.0,82,,,301,598
Tom Owens,1977,188,18,142.0,4.0,13.0,68,135,462.0,46,,,68,135
Joe Pace,1977,64,4,34.0,2.0,17.0,24,55,119.0,30,,,24,55
Robert Parish*,1977,697,74,543.0,55.0,94.0,288,573,1384.0,77,,,288,573
Sonny Parker,1977,379,59,173.0,53.0,26.0,154,292,889.0,65,,,154,292
Billy Paultz,1977,1280,223,687.0,55.0,173.0,521,1102,2694.0,82,,,521,1102
Marv Roberts,1977,58,19,25.0,4.0,2.0,27,76,209.0,28,,,27,76
Dave Robisch,1977,951,158,554.0,55.0,37.0,369,811,1966.0,80,,,369,811
Marshall Rogers,1977,100,10,11.0,8.0,3.0,43,116,176.0,26,,,43,116
Dan Roundfield,1977,848,69,518.0,61.0,131.0,342,734,1645.0,61,,,342,734
Phil Sellers,1977,198,25,41.0,22.0,0.0,73,190,329.0,44,,,73,190
Lonnie Shelton,1977,955,149,633.0,125.0,98.0,398,836,2104.0,82,,,398,836
James Silas,1977,209,50,32.0,13.0,3.0,61,142,356.0,22,,,61,142
Ralph Simpson,1977,850,180,181.0,68.0,5.0,356,834,1597.0,77,,,356,834
Al Skinner,1977,995,289,363.0,103.0,53.0,382,887,2256.0,79,,,382,887
Willie Smith,1977,0,0,0.0,0.0,0.0,0,1,11.0,2,,,0,1
Keith Starr,1977,14,6,10.0,1.0,0.0,6,24,65.0,17,,,6,24
Earl Tatum,1977,638,118,236.0,85.0,22.0,283,607,1249.0,68,,,283,607
Brian Taylor,1977,1227,320,238.0,199.0,16.0,501,995,2488.0,72,,,501,995
Fatty Taylor,1977,301,288,211.0,132.0,9.0,132,314,1548.0,79,,,132,314
Ira Terrell,1977,665,103,387.0,41.0,47.0,277,545,1751.0,78,,,277,545
Claude Terry,1977,228,58,46.0,20.0,1.0,96,191,545.0,45,,,96,191
David Thompson*,1977,2125,337,334.0,114.0,53.0,824,1626,3001.0,82,,,824,1626
Monte Towe,1977,130,87,34.0,16.0,0.0,56,138,409.0,51,,,56,138
Dave Twardzik,1977,765,247,202.0,128.0,15.0,263,430,1937.0,74,,,263,430
Jan Van,1977,737,117,460.0,74.0,68.0,271,609,2398.0,72,,,271,609
Andy Walker,1977,180,32,75.0,20.0,7.0,72,156,438.0,40,,,72,156
Wally Walker,1977,341,51,108.0,14.0,2.0,137,305,627.0,66,,,137,305
Lloyd Walton,1977,229,141,51.0,40.0,2.0,88,188,678.0,53,,,88,188
Henry Ward,1977,83,6,33.0,6.0,5.0,34,90,171.0,27,,,34,90
Richard Washington,1977,1069,85,698.0,63.0,90.0,446,1034,2265.0,82,,,446,1034
Marvin Webster,1977,539,62,484.0,23.0,118.0,198,400,1276.0,80,,,198,400
Bob Wilkerson,1977,526,171,258.0,72.0,8.0,221,573,1552.0,78,,,221,573
Chuck Williams,1977,224,132,101.0,32.0,3.0,78,210,867.0,65,,,78,210
Chuckie Williams,1977,37,7,4.0,1.0,0.0,14,47,65.0,22,,,14,47
John Williamson,1977,1495,201,193.0,107.0,13.0,618,1347,2481.0,72,,,618,1347
Willie Wise,1977,616,142,253.0,60.0,18.0,237,513,1403.0,75,,,237,513
Larry Wright,1977,612,232,98.0,55.0,5.0,262,595,1421.0,78,,,262,595
Tate Armstrong,1978,284,74,68.0,23.0,0.0,131,280,716.0,66,,,131,280
Greg Ballard,1978,372,62,266.0,30.0,13.0,142,334,936.0,76,,,142,334
Kent Benson,1978,532,99,295.0,69.0,54.0,220,473,1288.0,69,,,220,473
Otis Birdsong,1978,1156,174,175.0,74.0,12.0,470,955,1878.0,73,,,470,955
Phil Bond,1978,4,2,4.0,1.0,0.0,2,6,21.0,7,,,2,6
Jim Bostic,1978,26,3,16.0,0.0,0.0,12,22,48.0,4,,,12,22
Alonzo Bradley,1978,303,54,99.0,16.0,6.0,130,304,798.0,43,,,130,304
Mike Bratz,1978,374,123,115.0,39.0,5.0,159,395,933.0,80,,,159,395
Wayman Britt,1978,9,2,4.0,1.0,0.0,3,10,16.0,7,,,3,10
Kenny Carr,1978,323,26,208.0,18.0,14.0,134,302,733.0,52,,,134,302
Bob Carrington,1978,636,117,174.0,65.0,23.0,253,589,1653.0,72,,,253,589
Wesley Cox,1978,196,12,143.0,21.0,10.0,69,173,453.0,43,,,69,173
Charlie Criss,1978,874,294,121.0,108.0,5.0,319,751,1935.0,77,,,319,751
Mark Crow,1978,84,8,27.0,5.0,1.0,35,80,154.0,15,,,35,80
Brad Davis,1978,82,83,35.0,15.0,2.0,30,72,334.0,33,,,30,72
Walter Davis,1978,1959,273,484.0,113.0,20.0,786,1494,2590.0,81,,,786,1494
Jacky Dorsey,1978,34,5,30.0,2.0,3.0,12,31,88.0,11,,,12,31
T.R. Dunn,1978,237,45,147.0,46.0,8.0,100,240,768.0,63,,,100,240
James Edwards,1978,1262,85,615.0,53.0,78.0,495,1093,2405.0,83,,,495,1093
Bo Ellis,1978,338,73,304.0,49.0,47.0,133,320,1213.0,78,,,133,320
Al Fleming,1978,40,7,30.0,0.0,5.0,15,31,97.0,20,,,15,31
Bayard Forrest,1978,271,129,250.0,23.0,34.0,111,238,887.0,64,,,111,238
Mike Glenn,1978,441,78,79.0,35.0,5.0,195,370,947.0,56,,,195,370
Glen Gondrezick,1978,345,83,250.0,56.0,18.0,131,339,1017.0,72,,,131,339
Rickey Green,1978,340,149,116.0,58.0,1.0,143,375,1098.0,76,,,143,375
Greg Griffin,1978,145,24,103.0,16.0,0.0,61,169,422.0,36,,,61,169
Ernie Grunfeld,1978,502,145,194.0,54.0,19.0,204,461,1261.0,73,,,204,461
Joe Hassett,1978,192,41,36.0,21.0,0.0,91,205,404.0,48,,,91,205
Eddie Johnson,1978,828,235,153.0,100.0,4.0,332,686,1875.0,79,,,332,686
Larry Johnson,1978,6,7,5.0,5.0,2.0,3,13,38.0,4,,,3,13
Marques Johnson,1978,1557,190,847.0,92.0,103.0,628,1204,2765.0,80,,,628,1204
Eddie Jordan,1978,561,177,119.0,126.0,19.0,215,538,1213.0,73,,,215,538
Bernard King*,1978,1909,193,751.0,122.0,36.0,798,1665,3092.0,79,,,798,1665
Toby Knight,1978,507,38,321.0,50.0,28.0,222,465,1169.0,80,,,222,465
John Kuester,1978,377,252,114.0,58.0,1.0,145,319,1215.0,78,,,145,319
Tom LaGarde,1978,306,47,214.0,17.0,17.0,96,237,868.0,77,,,96,237
Mark Landsberger,1978,345,41,301.0,21.0,6.0,127,251,926.0,62,,,127,251
Rich Laurel,1978,24,3,10.0,3.0,1.0,10,31,57.0,10,,,10,31
Ricky Marsh,1978,269,90,75.0,29.0,19.0,123,289,851.0,60,,,123,289
Cedric Maxwell,1978,528,68,379.0,53.0,48.0,170,316,1213.0,72,,,170,316
Larry Moffett,1978,16,7,21.0,2.0,2.0,5,17,110.0,20,,,5,17
Glenn Mosley,1978,13,2,5.0,0.0,0.0,5,13,21.0,6,,,5,13
Norm Nixon,1978,1107,553,239.0,138.0,7.0,496,998,2779.0,81,,,496,998
Eddie Owens,1978,21,5,10.0,1.0,0.0,9,21,63.0,8,,,9,21
Ben Poquette,1978,232,20,145.0,10.0,22.0,95,225,626.0,52,,,95,225
Robert Reid,1978,585,121,359.0,67.0,51.0,261,574,1849.0,80,,,261,574
Anthony Roberts,1978,775,105,351.0,40.0,7.0,311,736,1598.0,82,,,311,736
Tony Robertson,1978,373,103,70.0,74.0,5.0,168,381,929.0,63,,,168,381
Tree Rollins,1978,610,79,552.0,57.0,218.0,253,520,1795.0,80,,,253,520
Alvin Scott,1978,492,88,357.0,52.0,40.0,180,369,1538.0,81,,,180,369
Steve Sheppard,1978,275,43,131.0,14.0,3.0,119,262,698.0,64,,,119,262
Jack Sikma,1978,876,134,678.0,68.0,40.0,342,752,2238.0,82,,,342,752
Scott Sims,1978,30,20,13.0,3.0,0.0,10,26,95.0,12,,,10,26
Robert Smith,1978,121,39,36.0,18.0,3.0,50,97,378.0,45,,,50,97
Phil Walker,1978,178,54,52.0,14.0,5.0,57,161,384.0,40,,,57,161
Wilson Washington,1978,229,10,156.0,18.0,37.0,100,206,561.0,38,,,100,206
Ray Williams,1978,756,363,209.0,108.0,15.0,305,689,1550.0,81,,,305,689
Kim Anderson,1979,63,15,45.0,4.0,5.0,24,77,224.0,21,,,24,77
Del Beshore,1979,0,0,0.0,0.0,0.0,0,0,1.0,1,,,0,0
Dennis Boyd,1979,6,7,2.0,0.0,0.0,3,12,40.0,5,,,3,12
Winford Boynes,1979,645,75,155.0,43.0,7.0,256,595,1176.0,69,,,256,595
Ron Brewer,1979,1078,165,229.0,102.0,79.0,434,878,2454.0,81,,,434,878
Greg Bunch,1979,28,4,17.0,3.0,3.0,9,26,97.0,12,,,9,26
Marty Byrnes,1979,480,104,191.0,27.0,10.0,187,389,1264.0,79,,,187,389
Ron Carter,1979,144,25,45.0,17.0,7.0,54,124,332.0,46,,,54,124
Maurice Cheeks,1979,685,431,254.0,174.0,12.0,292,572,2409.0,82,,,292,572
Michael Cooper,1979,6,0,0.0,1.0,0.0,3,6,7.0,3,,,3,6
Wayne Cooper,1979,297,21,280.0,7.0,44.0,128,293,795.0,65,,,128,293
Dave Corzine,1979,175,49,147.0,10.0,14.0,63,118,532.0,59,,,63,118
Geoff Crompton,1979,26,5,23.0,0.0,3.0,10,26,88.0,20,,,10,26
Harry Davis,1979,162,16,66.0,13.0,8.0,66,153,394.0,40,,,66,153
Bob Elliott,1979,123,22,56.0,6.0,4.0,41,73,282.0,14,,,41,73
Ray Epps,1979,26,2,5.0,1.0,0.0,10,23,72.0,13,,,10,23
Phil Ford,1979,1260,681,182.0,174.0,6.0,467,1004,2723.0,79,,,467,1004
Jack Givens,1979,570,83,214.0,72.0,17.0,234,564,1347.0,74,,,234,564
Tommie Green,1979,232,140,68.0,61.0,6.0,92,237,809.0,59,,,92,237
Lars Hansen,1979,76,14,59.0,1.0,1.0,29,57,205.0,15,,,29,57
James Hardy,1979,453,65,310.0,52.0,61.0,196,426,1456.0,68,,,196,426
Keith Herron,1979,40,3,10.0,6.0,2.0,14,48,81.0,14,,,14,48
Kenny Higgs,1979,339,141,102.0,66.0,11.0,127,279,1050.0,68,,,127,279
Essie Hollis,1979,69,6,45.0,11.0,1.0,30,75,154.0,25,,,30,75
Otis Howard,1979,59,5,41.0,2.0,2.0,24,56,113.0,14,,,24,56
Clemon Johnson,1979,240,78,226.0,23.0,36.0,102,217,794.0,74,,,102,217
Jeff Judkins,1979,709,145,191.0,81.0,12.0,295,587,1521.0,81,,,295,587
Joel Kramer,1979,487,92,337.0,45.0,23.0,181,370,1401.0,82,,,181,370
Butch Lee,1979,755,295,126.0,86.0,1.0,290,634,1779.0,82,,,290,634
John Long,1979,1319,121,266.0,102.0,19.0,581,1240,2498.0,82,,,581,1240
Billy McKinney,1979,609,253,85.0,58.0,3.0,240,477,1242.0,78,,,240,477
Mike Mitchell,1979,855,60,329.0,51.0,29.0,362,706,1576.0,80,,,362,706
John Olive,1979,44,3,19.0,4.0,0.0,13,40,189.0,34,,,13,40
Roger Phegley,1979,80,15,22.0,5.0,2.0,28,78,153.0,29,,,28,78
Stan Pietkiewicz,1979,4,3,6.0,1.0,0.0,1,8,32.0,4,,,1,8
Wayne Radford,1979,202,57,68.0,30.0,1.0,83,175,649.0,52,,,83,175
Marlon Redmond,1979,357,58,109.0,28.0,16.0,163,387,759.0,53,,,163,387
Micheal Ray,1979,469,213,233.0,100.0,18.0,200,483,1218.0,72,,,200,483
Rick Robey,1979,818,132,513.0,48.0,15.0,322,673,1763.0,79,,,322,673
Jackie Robinson,1979,46,13,19.0,5.0,1.0,19,41,105.0,12,,,19,41
John Rudd,1979,184,35,167.0,17.0,8.0,59,133,723.0,58,,,59,133
Frankie Sanders,1979,264,52,110.0,21.0,6.0,105,246,479.0,46,,,105,246
Purvis Short,1979,795,97,347.0,54.0,12.0,369,771,1703.0,75,,,369,771
Sam Smith,1979,56,16,9.0,8.0,7.0,19,47,125.0,16,,,19,47
Reggie Theus,1979,1338,429,228.0,93.0,18.0,537,1119,2753.0,82,,,537,1119
Mychal Thompson,1979,1074,176,604.0,67.0,134.0,460,938,2144.0,73,,,460,938
Raymond Townsend,1979,304,91,55.0,27.0,6.0,127,289,771.0,65,,,127,289
Terry Tyler,1979,1056,89,648.0,104.0,201.0,456,946,2560.0,82,,,456,946
Andre Wakefield,1979,172,70,76.0,19.0,2.0,62,177,586.0,73,,,62,177
Jerome Whitehead,1979,38,7,50.0,3.0,4.0,15,34,152.0,31,,,15,34
Freeman Williams,1979,746,83,98.0,42.0,2.0,335,683,1195.0,72,,,335,683
Rick Wilson,1979,186,72,76.0,30.0,8.0,81,197,589.0,61,,,81,197
James Bailey,1980,312,28,197.0,21.0,54.0,122,271,726.0,67,0.0,0.0,122,271
Billy Ray,1980,180,31,29.0,14.0,2.0,72,146,235.0,16,8.0,19.0,64,127
Larry Bird*,1980,1745,370,852.0,143.0,53.0,693,1463,2955.0,82,58.0,143.0,635,1320
Lawrence Boston,1980,56,2,39.0,4.0,2.0,24,52,125.0,13,0.0,0.0,24,52
Dudley Bradley,1980,688,252,223.0,211.0,48.0,275,609,2027.0,82,2.0,5.0,273,604
Bill Cartwright,1980,1781,165,726.0,48.0,101.0,665,1215,3150.0,82,0.0,0.0,665,1215
Jeff Cook,1980,362,84,241.0,28.0,18.0,129,275,904.0,66,0.0,3.0,129,272
Hollis Copeland,1980,427,80,156.0,61.0,25.0,182,368,1142.0,75,0.0,2.0,182,366
John Coughran,1980,68,12,19.0,7.0,1.0,29,81,160.0,24,2.0,9.0,27,72
Terry Crosby,1980,6,7,1.0,0.0,0.0,2,4,28.0,4,0.0,0.0,2,4
Pat Cummings,1980,468,53,238.0,22.0,17.0,187,370,900.0,71,0.0,0.0,187,370
Paul Dawkins,1980,316,77,125.0,33.0,9.0,141,300,776.0,57,1.0,5.0,140,295
Greg Deane,1980,10,6,6.0,0.0,0.0,2,11,48.0,7,1.0,1.0,1,10
Larry Demic,1980,570,64,483.0,56.0,30.0,230,528,1872.0,82,0.0,0.0,230,528
Terry Duerod,1980,624,117,98.0,41.0,11.0,282,598,1331.0,67,15.0,53.0,267,545
Earl Evans,1980,157,37,75.0,14.0,1.0,63,140,381.0,36,7.0,18.0,56,122
Mike Evans,1980,486,230,107.0,60.0,9.0,208,464,1246.0,79,12.0,42.0,196,422
Gary Garland,1980,334,145,138.0,54.0,4.0,155,356,1106.0,78,6.0,19.0,149,337
Dave Greenwood,1980,1334,182,773.0,60.0,129.0,498,1051,2791.0,82,1.0,7.0,497,1044
Roy Hamilton,1980,333,192,107.0,48.0,5.0,115,287,1116.0,72,0.0,2.0,115,285
Gerald Henderson,1980,473,147,83.0,45.0,15.0,191,382,1061.0,76,2.0,6.0,189,376
Johnny High,1980,409,119,173.0,71.0,15.0,144,323,1121.0,82,1.0,7.0,143,316
Brad Holland,1980,106,22,17.0,15.0,1.0,44,104,197.0,38,3.0,15.0,41,89
Phil Hubbard,1980,585,70,320.0,48.0,10.0,210,451,1189.0,64,0.0,2.0,210,449
Geoff Huston,1980,219,159,58.0,39.0,5.0,94,241,923.0,71,3.0,17.0,91,224
Abdul Jeelani,1980,737,95,270.0,40.0,40.0,288,565,1286.0,77,0.0,6.0,288,559
Cheese Johnson,1980,27,2,14.0,1.0,0.0,12,30,53.0,9,0.0,0.0,12,30
Magic Johnson*,1980,1387,563,596.0,187.0,41.0,503,949,2795.0,77,7.0,31.0,496,918
Vinnie Johnson,1980,121,54,55.0,19.0,4.0,45,115,325.0,38,0.0,1.0,45,114
Major Jones,1980,438,67,381.0,50.0,67.0,188,392,1545.0,82,1.0,3.0,187,389
Greg Kelser,1980,709,108,276.0,60.0,34.0,280,593,1233.0,50,3.0,15.0,277,578
Irv Kiffin,1980,82,19,40.0,10.0,2.0,32,96,212.0,26,0.0,0.0,32,96
Carl Kilpatrick,1980,3,0,4.0,0.0,0.0,1,2,6.0,2,0.0,0.0,1,2
Reggie King,1980,673,106,566.0,69.0,31.0,257,499,2052.0,82,0.0,1.0,257,498
Arvid Kramer,1980,16,3,12.0,0.0,5.0,7,22,45.0,8,0.0,0.0,7,22
Allen Leavell,1980,843,417,184.0,127.0,28.0,330,656,2123.0,77,3.0,19.0,327,637
Ollie Mack,1980,234,53,71.0,24.0,3.0,98,199,681.0,50,0.0,5.0,98,194
Steve Malovic,1980,80,26,86.0,8.0,6.0,31,67,445.0,39,0.0,0.0,31,67
Paul Mokeski,1980,29,2,29.0,1.0,6.0,11,33,113.0,12,0.0,0.0,11,33
Sidney Moncrief,1980,654,133,338.0,72.0,16.0,211,451,1557.0,77,0.0,1.0,211,450
Calvin Natt,1980,1553,169,691.0,102.0,34.0,622,1298,2857.0,78,3.0,9.0,619,1289
Sylvester Norris,1980,40,6,43.0,3.0,12.0,18,43,189.0,17,0.0,0.0,18,43
Wiley Peck,1980,180,33,183.0,17.0,23.0,73,169,628.0,52,0.0,2.0,73,167
Sam Pellom,1980,109,18,92.0,12.0,12.0,44,108,373.0,44,0.0,0.0,44,108
Clint Richardson,1980,347,107,123.0,24.0,15.0,159,348,988.0,52,1.0,3.0,158,345
Cliff Robinson,1980,951,98,506.0,61.0,34.0,391,833,1661.0,70,1.0,4.0,390,829
Jim Spanarkel,1980,198,51,54.0,12.0,6.0,72,153,442.0,40,0.0,2.0,72,151
Bernard Toone,1980,55,12,34.0,4.0,5.0,23,64,124.0,23,1.0,7.0,22,57
Duck Williams,1980,506,183,106.0,100.0,11.0,232,519,1794.0,77,0.0,12.0,232,507
Sly Williams,1980,266,36,121.0,19.0,8.0,104,267,556.0,57,0.0,4.0,104,263
Bubba Wilson,1980,17,12,16.0,2.0,0.0,7,25,143.0,16,0.0,0.0,7,25
Tony Zeno,1980,14,1,14.0,4.0,3.0,6,21,59.0,8,0.0,0.0,6,21
Darrell Allums,1981,59,25,65.0,5.0,8.0,23,67,276.0,22,0.0,1.0,23,66
Norman Black,1981,8,2,2.0,1.0,0.0,3,10,28.0,3,0.0,0.0,3,10
Dave Britton,1981,4,3,2.0,1.0,0.0,2,3,9.0,2,0.0,0.0,2,3
Michael Brooks,1981,1202,208,442.0,99.0,31.0,488,1018,2479.0,82,0.0,6.0,488,1012
Lewis Brown,1981,2,0,2.0,0.0,0.0,0,3,5.0,2,0.0,0.0,0,3
Rickey Brown,1981,182,21,166.0,9.0,14.0,83,162,580.0,45,0.0,0.0,83,162
Joe Barry,1981,1547,117,759.0,50.0,121.0,616,1254,2919.0,82,0.0,2.0,616,1252
Butch Carter,1981,301,52,65.0,23.0,1.0,114,247,672.0,54,3.0,10.0,111,237
Reggie Carter,1981,169,76,69.0,22.0,2.0,59,179,536.0,60,0.0,3.0,59,176
Art Collins,1981,94,25,41.0,11.0,1.0,35,99,395.0,29,0.0,2.0,35,97
Don Collins,1981,931,190,268.0,104.0,25.0,360,811,1845.0,81,0.0,6.0,360,805
Darwin Cook,1981,904,297,236.0,141.0,36.0,383,819,1980.0,81,6.0,25.0,377,794
Earl Cureton,1981,219,25,155.0,20.0,23.0,93,205,528.0,52,0.0,1.0,93,204
Monti Davis,1981,3,0,4.0,0.0,1.0,1,5,10.0,2,0.0,0.0,1,5
James Donaldson,1981,359,42,309.0,8.0,74.0,129,238,980.0,68,0.0,0.0,129,238
Larry Drew,1981,504,249,120.0,88.0,7.0,197,484,1581.0,76,4.0,17.0,193,467
Ralph Drollinger,1981,15,14,19.0,1.0,2.0,7,14,67.0,6,0.0,0.0,7,14
John Duren,1981,71,54,35.0,18.0,2.0,33,101,458.0,40,0.0,1.0,33,100
Tony Fuller,1981,60,28,42.0,10.0,1.0,24,66,248.0,15,0.0,1.0,24,65
Calvin Garrett,1981,427,132,264.0,50.0,10.0,188,415,1638.0,70,1.0,3.0,187,412
Mike Gminski,1981,737,72,419.0,54.0,100.0,291,688,1579.0,56,0.0,1.0,291,687
Darrell Griffith,1981,1671,194,288.0,106.0,40.0,716,1544,2867.0,81,10.0,52.0,706,1492
Bill Hanzlik,1981,396,111,153.0,58.0,20.0,138,289,1259.0,74,1.0,5.0,137,284
Alan Hardy,1981,51,3,19.0,1.0,9.0,22,59,111.0,22,0.0,0.0,22,59
Mike Harper,1981,149,17,93.0,23.0,20.0,56,136,461.0,55,0.0,3.0,56,133
Cedrick Hordges,1981,572,104,458.0,33.0,19.0,221,480,1599.0,68,0.0,3.0,221,477
Tony Jackson,1981,2,2,2.0,2.0,0.0,1,3,14.0,2,0.0,0.0,1,3
Lee Johnson,1981,17,1,22.0,0.0,5.0,7,25,90.0,12,0.0,0.0,7,25
Reggie Johnson,1981,808,78,358.0,45.0,48.0,340,682,1716.0,79,0.0,1.0,340,681
Edgar Jones,1981,524,43,263.0,36.0,81.0,189,357,950.0,60,0.0,4.0,189,353
Walter Jordan,1981,68,11,42.0,11.0,5.0,29,75,207.0,30,0.0,0.0,29,75
Clarence Kea,1981,117,5,67.0,6.0,1.0,37,81,199.0,16,0.0,1.0,37,80
Chad Kinch,1981,118,45,33.0,11.0,6.0,52,141,353.0,41,0.0,0.0,52,141
Wayne Kreklow,1981,30,9,12.0,2.0,1.0,11,47,100.0,25,1.0,4.0,10,43
Bill Laimbeer,1981,791,216,693.0,56.0,78.0,337,670,2460.0,81,0.0,0.0,337,670
Edmund Lawrence,1981,12,1,4.0,1.0,0.0,5,8,19.0,3,0.0,0.0,5,8
Ronnie Lester,1981,30,7,6.0,2.0,0.0,10,24,83.0,8,0.0,0.0,10,24
Kyle Macy,1981,663,160,132.0,76.0,5.0,272,532,1469.0,82,12.0,51.0,260,481
Rick Mahorn,1981,249,25,215.0,21.0,44.0,111,219,696.0,52,0.0,0.0,111,219
Wes Matthews,1981,977,411,139.0,107.0,17.0,385,779,2266.0,79,5.0,21.0,380,758
Bill Mayfield,1981,17,1,9.0,0.0,1.0,8,18,54.0,7,0.0,0.0,8,18
Keith McCord,1981,4,1,2.0,0.0,0.0,2,4,9.0,2,0.0,0.0,2,4
Kevin McHale*,1981,818,55,359.0,27.0,151.0,355,666,1645.0,82,0.0,2.0,355,664
Dick Miller,1981,8,5,7.0,4.0,0.0,4,9,53.0,8,0.0,1.0,4,8
Johnny Moore,1981,604,373,196.0,120.0,22.0,249,520,1578.0,82,1.0,19.0,248,501
Lowes Moore,1981,497,228,168.0,61.0,17.0,212,478,1406.0,71,4.0,27.0,208,451
Kenny Natt,1981,59,10,15.0,5.0,1.0,25,77,149.0,19,2.0,8.0,23,69
Carl Nicks,1981,415,149,110.0,60.0,3.0,172,359,1109.0,67,0.0,4.0,172,355
Mike Niles,1981,115,15,58.0,8.0,1.0,48,138,231.0,44,2.0,4.0,46,134
Mike O'Koren,1981,870,252,478.0,86.0,27.0,365,751,2473.0,79,5.0,18.0,360,733
Jawann Oldham,1981,4,0,5.0,0.0,2.0,2,6,21.0,4,0.0,0.0,2,6
Louis Orr,1981,859,132,361.0,55.0,25.0,348,709,1787.0,82,0.0,6.0,348,703
Myles Patrick,1981,5,1,2.0,0.0,0.0,2,5,9.0,3,0.0,0.0,2,5
Tony Price,1981,4,3,0.0,2.0,1.0,2,7,29.0,5,0.0,0.0,2,7
Wally Rank,1981,55,17,30.0,7.0,1.0,21,57,153.0,25,0.0,0.0,21,57
Kelvin Ransey,1981,1217,555,195.0,88.0,9.0,525,1162,2431.0,80,3.0,31.0,522,1131
James Ray,1981,37,11,37.0,4.0,4.0,15,49,148.0,18,0.0,1.0,15,48
Billy Reid,1981,190,71,60.0,33.0,5.0,84,185,597.0,59,0.0,5.0,84,180
Wayne Robinson,1981,643,112,294.0,46.0,24.0,234,509,1592.0,81,0.0,6.0,234,503
Lorenzo Romar,1981,219,136,56.0,27.0,3.0,87,211,726.0,53,2.0,6.0,85,205
DeWayne Scales,1981,215,10,132.0,12.0,4.0,94,225,484.0,44,1.0,6.0,93,219
Craig Shelton,1981,235,27,138.0,18.0,5.0,100,219,586.0,55,0.0,1.0,100,218
Jerry Sichting,1981,93,70,43.0,23.0,1.0,34,95,450.0,47,0.0,5.0,34,90
Larry Smith,1981,785,93,994.0,70.0,63.0,304,594,2578.0,82,0.0,0.0,304,594
Rory Sparrow,1981,56,32,18.0,13.0,3.0,22,63,212.0,15,0.0,0.0,22,63
John Stroud,1981,25,9,13.0,1.0,0.0,11,34,88.0,9,0.0,0.0,11,34
Carlos Terry,1981,188,70,116.0,27.0,13.0,80,160,504.0,26,0.0,6.0,80,154
Andrew Toney,1981,968,273,143.0,59.0,10.0,399,806,1768.0,75,9.0,29.0,390,777
Ronnie Valentine,1981,84,7,30.0,7.0,4.0,37,98,123.0,24,1.0,2.0,36,96
Kiki Vandeweghe,1981,588,94,270.0,29.0,24.0,229,537,1376.0,51,0.0,7.0,229,530
Brett Vroman,1981,34,9,25.0,5.0,5.0,10,27,93.0,11,0.0,1.0,10,26
Hawkeye Whitney,1981,350,68,106.0,47.0,6.0,149,306,782.0,47,2.0,6.0,147,300
Michael Wiley,1981,188,11,64.0,8.0,6.0,76,138,271.0,33,0.0,2.0,76,136
James Wilkes,1981,199,30,96.0,25.0,12.0,85,184,540.0,48,0.0,1.0,85,183
Jeff Wilkins,1981,261,40,274.0,32.0,46.0,117,260,1058.0,56,0.0,0.0,117,260
Mike Woodson,1981,380,75,97.0,36.0,12.0,165,373,949.0,81,1.0,5.0,164,368
Sam Worthen,1981,235,115,115.0,57.0,6.0,95,192,945.0,64,0.0,4.0,95,188
Mark Aguirre,1982,955,164,249.0,37.0,22.0,381,820,1468.0,51,25.0,71.0,356,749
Danny Ainge,1982,219,87,56.0,37.0,3.0,79,221,564.0,53,5.0,17.0,74,204
Carl Bailey,1982,2,0,0.0,0.0,0.0,1,1,7.0,1,0.0,0.0,1,1
Gene Banks,1982,767,147,411.0,55.0,17.0,311,652,1700.0,80,0.0,8.0,311,644
Rolando Blackman,1982,1091,105,254.0,46.0,30.0,439,855,1979.0,82,1.0,4.0,438,851
Ray Blume,1982,226,68,41.0,23.0,2.0,102,222,546.0,49,4.0,18.0,98,204
Alex Bradley,1982,137,11,65.0,12.0,5.0,54,103,331.0,39,0.0,1.0,54,102
Charles Bradley,1982,152,22,38.0,14.0,6.0,55,122,339.0,51,0.0,1.0,55,121
Brad Branson,1982,53,6,33.0,5.0,4.0,21,52,176.0,10,0.0,0.0,21,52
Jim Brogan,1982,400,156,120.0,49.0,13.0,165,364,1027.0,63,9.0,32.0,156,332
Roger Burkman,1982,5,5,6.0,6.0,2.0,0,4,30.0,6,0.0,1.0,0,3
David Burns,1982,23,15,5.0,3.0,0.0,7,16,87.0,9,0.0,0.0,7,16
Bobby Cattage,1982,150,7,73.0,7.0,0.0,60,135,337.0,49,0.0,2.0,60,133
Tom Chambers,1982,1392,146,561.0,58.0,46.0,554,1056,2682.0,81,0.0,2.0,554,1054
Joe Cooper,1982,2,0,2.0,0.0,0.0,1,2,11.0,1,0.0,0.0,1,2
Charles Davis,1982,206,31,133.0,10.0,13.0,88,184,575.0,54,0.0,2.0,88,182
Kenny Dennard,1982,150,42,133.0,35.0,8.0,62,121,607.0,30,0.0,0.0,62,121
Mickey Dillard,1982,73,34,15.0,8.0,2.0,29,79,221.0,33,0.0,4.0,29,75
John Douglas,1982,447,146,90.0,48.0,9.0,181,389,1031.0,64,18.0,59.0,163,330
Craig Dykema,1982,43,15,12.0,2.0,0.0,17,37,103.0,32,2.0,4.0,15,33
